Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8803,VIRREYES,2,VIRREYES,30,30 - GRAN BUENOS AIRES NORTE
8806,TIGRE,2,TIGRE,30,30 - GRAN BUENOS AIRES NORTE
8875,VILLA MAIPU,2,VILLA MAIPU,30,30 - GRAN BUENOS AIRES NORTE
8877,SAN ANDRES,2,SAN ANDRES,30,30 - GRAN BUENOS AIRES NORTE
8881,VILLA BALLESTER,2,VILLA BALLESTER,30,30 - GRAN BUENOS AIRES NORTE
8884,JOSE LEON SUAREZ,2,JOSE LEON SUAREZ,30,30 - GRAN BUENOS AIRES NORTE
8930,MUNIZ,2,MUNIZ,30,30 - GRAN BUENOS AIRES NORTE
8932,SAN MIGUEL,2,SAN MIGUEL,30,30 - GRAN BUENOS AIRES NORTE
8972,TORTUGUITAS,2,TORTUGUITAS,30,30 - GRAN BUENOS AIRES NORTE
8673,ISLA MARTIN GARCIA,2,ISLA MARTIN GARCIA,2,2 - BUENOS AIRES
8674,"DOCTOR ANTONIO CETRANGOLO ,PAR",2,"DOCTOR ANTONIO CETRANGOLO ,PAR",2,2 - BUENOS AIRES
8676,"JUAN B.JUSTO,ESTACION FCGM,FLO",2,"JUAN B.JUSTO,ESTACION FCGM,FLO",2,2 - BUENOS AIRES
8677,PUENTE SAAVEDRA,2,PUENTE SAAVEDRA,2,2 - BUENOS AIRES
8680,CARAPACHAY,2,CARAPACHAY,2,2 - BUENOS AIRES
8681,BARRIO ARCA,2,BARRIO ARCA,2,2 - BUENOS AIRES
8682,BARRIO OBRERO FERROVIARIO,2,BARRIO OBRERO FERROVIARIO,2,2 - BUENOS AIRES
8683,JOSE MARTI,2,JOSE MARTI,2,2 - BUENOS AIRES
8686,BOULOGNE SUR MER,2,BOULOGNE SUR MER,2,2 - BUENOS AIRES
8687,BARRIO BAIRES,2,BARRIO BAIRES,2,2 - BUENOS AIRES
8688,BARRIO DOCTOR RICARDO GUTIERRE,2,BARRIO DOCTOR RICARDO GUTIERRE,2,2 - BUENOS AIRES
8690,KM. 26,2,KM. 26,2,2 - BUENOS AIRES
8691,SOLANA DEL MONTE,2,SOLANA DEL MONTE,2,2 - BUENOS AIRES
8692,VICEALMIRANTE E. MONTES,2,VICEALMIRANTE E. MONTES,2,2 - BUENOS AIRES
8693,INGENIERO ADOLFO SOURDEAUX,2,INGENIERO ADOLFO SOURDEAUX,2,2 - BUENOS AIRES
8694,KM. 30,2,KM. 30,2,2 - BUENOS AIRES
8695,BARRIO EL JAGUEL,2,BARRIO EL JAGUEL,2,2 - BUENOS AIRES
8696,BARRIO EL LUCERO,2,BARRIO EL LUCERO,2,2 - BUENOS AIRES
